,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.33333333333333331,0.25,0.20000000000000001,0.16666666666666666,0.5,0.40000000000000002,0.33333333333333331,0.2857142857142857,0.59999999999999998,0.5,0.42857142857142855,0.375,0.66666666666666663,0.5714285714285714,0.5,0.44444444444444442,0.25,0.20000000000000001,0.16666666666666666,0.14285714285714285,0.40000000000000002,0.33333333333333331,0.2857142857142857,0.25,0.5,0.42857142857142855,0.375,0.33333333333333331,0.5714285714285714,0.5,0.44444444444444442,0.40000000000000002,0.20000000000000001,0.16666666666666666,0.14285714285714285,0.125,0.33333333333333331,0.2857142857142857,0.25,0.22222222222222221,0.42857142857142855,0.375,0.33333333333333331,0.29999999999999999,0.5,0.44444444444444442,0.40000000000000002,0.36363636363636365,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.2857142857142857,0.25,0.22222222222222221,0.20000000000000001,0.375,0.33333333333333331,0.29999999999999999,0.27272727272727271,0.44444444444444442,0.40000000000000002,0.36363636363636365,0.33333333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.34244787135043792,0.25,0.20000000000000001,0.16666666666666666,0.5,0.40000000000000002,0.33333333333333331,0.2857142857142857,0.59999999999999998,0.5,0.42857142857142855,0.375,0.66666666666666674,0.57142857142857151,0.5,0.44444444444444442,0.29741266776690778,0.21604689591383749,0.17016694549466488,0.14285714285714285,0.43720794770358795,0.34244787135043792,0.2857142857142857,0.25,0.51021343742123071,0.4285714285714286,0.375,0.33333333333333331,0.5714285714285714,0.5,0.44444444444444442,0.40000000000000002,0.26148773293064992,0.19611858327816134,0.15741514589420774,0.13162170696760839,0.40133283969725908,0.31867058334494264,0.2652192553385912,0.22744375416594867,0.48212012659457054,0.40010179787501016,0.34244787135043792,0.29999999999999999,0.52947680275570319,0.45624780954614647,0.40000000000000002,0.36363636363636365,0.23267403708617479,0.17934773875460952,0.14635293068592881,0.12375616991629029,0.3691434883062385,0.29741266776690778,0.2500472914677081,0.21604689591383749,0.45414126218169293,0.37903428638125847,0.32630656420490572,0.28688547222616312,0.50807891354881951,0.43720794770358795,0.38388349430017471,0.34244787135043792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y,0.21246358770218426,0.17497699504821929,0.1811628123953696,0.16666666666666666,0.50000000000000033,0.40000000000000008,0.33333333333333398,0.2857142857142857,0.59999999999999998,0.49999999999999939,0.42857142857142899,0.37500000000000039,0.66666666666666741,0.57142857142857095,0.49999999999999978,0.44444444444444442,0.17915407517557172,0.12408718292599488,0.095364328998335898,0.084378924034403849,0.29245115619690604,0.21246358770218426,0.17901436981315291,0.17497699504821929,0.37198457727120005,0.29669648529299408,0.28384271099261937,0.33333333333333365,0.57142857142857106,0.50000000000000033,0.44444444444444442,0.40000000000000008,0.15411887437344574,0.11142704766191897,0.087637869222086121,0.07232578194806169,0.26017964457830145,0.19458555880030237,0.15666280818023656,0.1314620538949014,0.33823064630726785,0.25912207652079955,0.21246358770218426,0.1817926810083115,0.39944861090658124,0.3109589052352954,0.25990724560842071,0.24867883741307234,0.13488064863102822,0.10099385867381426,0.081020032596351696,0.067737552013642024,0.23342184931483331,0.17915407517557172,0.1463960611109314,0.12408718292599488,0.30885419872753228,0.24145587539668928,0.20025237350410505,0.17168844636536401,0.36920841320567316,0.29245115619690604,0.24545299895790307,0.21246358770218426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
