,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.33333333333333331,0.25,0.20000000000000001,0.16666666666666666,0.25,0.20000000000000001,0.16666666666666666,0.14285714285714285,0.20000000000000001,0.16666666666666666,0.14285714285714285,0.125,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.5,0.40000000000000002,0.33333333333333331,0.2857142857142857,0.40000000000000002,0.33333333333333331,0.2857142857142857,0.25,0.33333333333333331,0.2857142857142857,0.25,0.22222222222222221,0.2857142857142857,0.25,0.22222222222222221,0.20000000000000001,0.59999999999999998,0.5,0.42857142857142855,0.375,0.5,0.42857142857142855,0.375,0.33333333333333331,0.42857142857142855,0.375,0.33333333333333331,0.29999999999999999,0.375,0.33333333333333331,0.29999999999999999,0.27272727272727271,0.66666666666666663,0.5714285714285714,0.5,0.44444444444444442,0.5714285714285714,0.5,0.44444444444444442,0.40000000000000002,0.5,0.44444444444444442,0.40000000000000002,0.36363636363636365,0.44444444444444442,0.40000000000000002,0.36363636363636365,0.33333333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.30098135238047424,0.25,0.20000000000000001,0.16666666666666666,0.25,0.20000000000000001,0.16666666666666666,0.14285714285714285,0.20000000000000001,0.16666666666666666,0.14285714285714285,0.125,0.16666666666666669,0.14285714285714288,0.125,0.1111111111111111,0.30167917028258806,0.30435883252186308,0.30641398644364942,0.2857142857142857,0.30294273218435719,0.30098135238047424,0.2857142857142857,0.25,0.31217562374866792,0.28571428571428575,0.25,0.22222222222222221,0.2857142857142857,0.25,0.22222222222222221,0.20000000000000001,0.30267861562317777,0.30521296184621172,0.30703691850345882,0.30835540104593046,0.30144841945540213,0.30126122411574208,0.30255976557713044,0.30390019331926832,0.30712548949870011,0.30141685540422891,0.30098135238047424,0.29999999999999999,0.31787165971761577,0.30431193836758802,0.29999999999999999,0.27272727272727271,0.30369754618023448,0.30597844218919013,0.30759322340211526,0.30877175036192028,0.30095556249456701,0.30167917028258806,0.30306244855833636,0.30435883252186308,0.30413556121817148,0.30103864266424557,0.30114805899185548,0.30193682387831178,0.31168535672662495,0.30294273218435719,0.30110021188312114,0.30098135238047424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y,0.76235954410754203,0.79001716035585856,0.7542631876965632,0.16666666666666674,0.25000000000000056,0.20000000000000012,0.16666666666666716,0.14285714285714288,0.20000000000000004,0.16666666666666644,0.14285714285714279,0.12500000000000039,0.16666666666666669,0.14285714285714279,0.12499999999999985,0.1111111111111111,0.7963390008415544,0.85244827974806869,0.88169318009356223,0.89009277723700564,0.68054213092900739,0.76235954410754203,0.79397643687694075,0.79001716035585856,0.59852447562436373,0.67273440169352305,0.67412638692580296,0.22222222222222276,0.28571428571428625,0.25000000000000056,0.22222222222222221,0.20000000000000012,0.82185628153569712,0.86533995110114692,0.88955823771409459,0.90514308160461554,0.71360126420983361,0.78060177449273338,0.81926405269982727,0.84493735507789569,0.63346009148335169,0.71468331835371623,0.76235954410754203,0.79342031320746997,0.56987642603585464,0.6615394442368735,0.71364758977920617,0.71963564638092703,0.84145537490994715,0.87596221697588916,0.89629425522335227,0.90981259380338442,0.74095785108171519,0.7963390008415544,0.82972485125008377,0.85244827974806869,0.66370234548777729,0.73274829025514243,0.77482076386987364,0.80395005498617467,0.60140759682630252,0.68054213092900739,0.72866254689950172,0.76235954410754203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
