,0,1,2,3,4,5
M,,,,,,
z,0.043478260869565216,0.47826086956521735,0.91304347826086951,0.043478260869565216,0.47826086956521735,0.043478260869565216
x,0.043478260869565216,0.47826086956521735,0.91304347826086962,0.049520707520829793,0.55964468640288179,0.07870128752229015
y,0.043478260869565209,0.47826086956521702,0.91304347826086973,0.026155112995813367,0.46638136387144635,0.042142917213096973
