,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0.33333333333333331,0.5,0.59999999999999998,0.66666666666666663,0.25,0.40000000000000002,0.5,0.5714285714285714,0.20000000000000001,0.33333333333333331,0.42857142857142855,0.5,0.16666666666666666,0.2857142857142857,0.375,0.44444444444444442,0.25,0.40000000000000002,0.5,0.5714285714285714,0.20000000000000001,0.33333333333333331,0.42857142857142855,0.5,0.16666666666666666,0.2857142857142857,0.375,0.44444444444444442,0.14285714285714285,0.25,0.33333333333333331,0.40000000000000002,0.20000000000000001,0.33333333333333331,0.42857142857142855,0.5,0.16666666666666666,0.2857142857142857,0.375,0.44444444444444442,0.14285714285714285,0.25,0.33333333333333331,0.40000000000000002,0.125,0.22222222222222221,0.29999999999999999,0.36363636363636365,0.16666666666666666,0.2857142857142857,0.375,0.44444444444444442,0.14285714285714285,0.25,0.33333333333333331,0.40000000000000002,0.125,0.22222222222222221,0.29999999999999999,0.36363636363636365,0.1111111111111111,0.20000000000000001,0.27272727272727271,0.33333333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.35657077626908779,0.5,0.59999999999999998,0.66666666666666663,0.25,0.40000000000000002,0.5,0.5714285714285714,0.20000000000000001,0.33333333333333331,0.42857142857142855,0.5,0.16666666666666669,0.28571428571428575,0.375,0.44444444444444442,0.40090816195050422,0.4795942715642994,0.5234190680616857,0.5714285714285714,0.25984932011205492,0.35657077626908779,0.42857142857142855,0.5,0.17761093883010134,0.28571428571428575,0.375,0.44444444444444442,0.14285714285714285,0.25,0.33333333333333331,0.40000000000000002,0.43583365144617242,0.49866845487562694,0.53554793560233338,0.56002289198646127,0.29721874084733885,0.38006819253931523,0.43222097908427837,0.46865605251478309,0.21075438390672935,0.29848134672076099,0.35657077626908779,0.40000000000000002,0.1526515375266812,0.23944025208626549,0.29999999999999999,0.36363636363636365,0.46362841673359073,0.51467381905620035,0.54605384591195605,0.56747207972178937,0.32990094919919455,0.40090816195050422,0.44689025997395548,0.4795942715642994,0.2417231766001357,0.31992707095449607,0.37254537680323879,0.4111777038955251,0.18023572972455562,0.25984932011205492,0.31501629381670415,0.35657077626908779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y,0.025176868190273757,0.035005844595922077,0.06457399990806717,0.66666666666666663,0.24999999999999922,0.39999999999999969,0.49999999999999895,0.5714285714285714,0.19999999999999998,0.33333333333333415,0.42857142857142821,0.49999999999999928,0.16666666666666582,0.28571428571428609,0.37500000000000022,0.44444444444444442,0.024506923982873959,0.023464537325936393,0.022942490908101919,0.025528298728590509,0.027006712874086489,0.025176868190273757,0.027009193309906292,0.035005844595922077,0.02949094710443623,0.030569113013482845,0.042030902081577587,0.44444444444444364,0.14285714285714268,0.24999999999999922,0.33333333333333331,0.39999999999999969,0.024024844090857148,0.02323300123693417,0.022803893063819379,0.02253113644732279,0.026219091211864973,0.024812666706964213,0.024073139119936148,0.023600591027203022,0.02830926220938057,0.026194605125484195,0.025176868190273757,0.0247870057842185,0.030674963057564161,0.027501650527831139,0.026445164612373166,0.031685516206000644,0.023663976459024537,0.023043924350296535,0.022685712180296046,0.022449854182973572,0.025620299603451469,0.024506923982873959,0.02387908763898482,0.023464537325936393,0.027443455784690464,0.025795834348168394,0.024926862626021232,0.024361498648461374,0.029383989968024389,0.027006712874086489,0.025884454142595083,0.025176868190273757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
